epoch,train_loss,val_loss,train_acc,val_acc
1,1.429068,1.075144,0.4861,0.6150
2,0.971592,0.915785,0.6577,0.6794
3,0.794122,0.741639,0.7232,0.7408
4,0.687818,0.745954,0.7599,0.7423
5,0.610866,0.665231,0.7878,0.7662
6,0.548880,0.692154,0.8106,0.7650
7,0.484314,0.609562,0.8319,0.7930
8,0.440183,0.734493,0.8479,0.7633
9,0.402108,0.567632,0.8586,0.8124
10,0.366047,0.716124,0.8718,0.7761
11,0.318247,0.599515,0.8881,0.8125
12,0.288360,0.934434,0.8978,0.7563
13,0.270772,0.605278,0.9048,0.8225
14,0.242653,0.730844,0.9132,0.7931
15,0.217515,0.655609,0.9245,0.8160
